ASV	Feat	Num	Sum	CD15.321	CBD15.394	CBD75.118	CD15.1350	CBD75.573	CBD75.180	CC.586	CC.111	CBD15.173	CC.198	CD15.701	CBD15.112	CD15.1359	CD15.335	CBD15.702	CBD75.593	CBD75.1323	CC.58	CD15.71	CBD75.363	CBD15.114	CC.26	CBD15.318	CC.125	CD15.77	CD15.377	CD15.1366	CD75.1000	CBD75.165	CBD75.710	CBD15.706	CD15.585	CBD15.34	CC.90	CBD75.384	CBD15.1370	CC.371	CC.1301	CD75.1396	CD15.1369	CD75.385	CBD75.89	CD75.392	CBD15.351	CBD75.174	CBD15.916	CD15.1339	CD75.87	CBD75.571	CBD15.142	CC.396	CD75.1398	CC.1338	CNE.1354	CD75.711	CNE.378	CD75.964	CNEB.1331	CNE.20	IBD15.114	IBD15.351	CD75.141	CNEB.158	IBD15.706	CNEB.354	CD75.714	CD75.997	IBD15.394	CNE.1375	CNE.722	CD75.187	IBD15.142	CNE.316	CNEB.193	IBD75.144	CNEB.1343	IBD75.710	IBD15.916	IBD75.363	IBD15.594	IBD15.156	CNEB.581	CNEB.195	CNE.128	CNEB.1356	CNE.97	IBD15.34	IBD75.89	IBD75.571	CNE.146	IBD75.593	CNE.362	IBD75.102	IBD75.118	IBD15.702	IC.125	IC.1314	ID15.1350	IC.26	CNEB.709	CNEB.309	IC.1338	CNE.177	CNEB.1325	CNEB.1358	ID15.321	IC.1301	CNE.370	ID15.701	INEB.309	ID15.71	ID15.1359	ID75.1398	IC.396	INEB.1331	IBD15.112	ID75.392	IC.1388	INE.121	INE.20	ID75.141	ID15.335	ID15.1363	ID15.910	INEB.1343	INEB.581	ID75.574	ID75.1000	ID15.1369	ID75.317	ID15.377	IC.198	IC.586	ID75.711	INE.128	ID75.87	INE.1375	ID75.385	INEB.1356	INE.316	INEB.709	INEB.1358	ID15.585	INE.177	IC.90	INE.378	INE.722
132d63923a2feb38a79010f9a989995d	F1	39	941931	153	519	3036	2365	529	285	1319	1137	1047	1827	364	180	1494	1543	495	3457	981	1028	837	400	713	2342	361	1672	854	255	291	45	1185	1892	98	707	130	790	221	349	882	16	137	423	616	1327	582	3127	4282	336	135	295	1056	765	941	564	1663	3172	1481	2206	331	599	1586	24606	25053	193	812	16438	639	147	433	20837	1189	4960	415	14922	4100	1110	30304	1359	16869	16430	14639	27566	4196	689	598	2765	619	7456	2171	13137	32372	2111	1271	1628	8654	682	21692	7022	3583	41685	19723	632	783	13825	1173	1279	527	6734	3157	484	4280	1734	1046	26018	4435	16810	11635	16181	20939	2808	7141	1775	3925	23582	20918	30790	14413	14514	5484	3296	15121	6737	17287	15113	15521	15025	21337	1651	1540	22838	29589	5395	9217	2867	23319	2533	495	8232	11298
b06793d6b502c6dce11b2d212b984595	F2	21	620770	383	1050	1361	401	299	1759	1383	1976	129	2260	744	443	441	11759	599	8751	454	619	1200	386	550	1749	4957	1331	337	156	350	195	1505	382	193	402	122	1726	548	845	1134	98	188	468	426	498	173	470	4811	155	2043	392	663	1377	817	509	817	17312	890	9269	284	838	4387	6994	5163	2435	1499	7546	1202	428	619	5218	8815	3958	1006	13369	17735	969	6546	8886	3500	7773	2295	9176	17005	884	525	2581	2151	19087	1205	6623	5324	2713	819	2973	17294	436	10440	3501	13425	3057	6374	2337	1014	1107	3491	1050	1134	18479	14659	5111	6938	434	1241	3166	17065	6335	2261	11273	12425	15262	11250	15964	2915	6897	3179	2548	2018	4932	4468	2366	8667	14013	3334	4219	1807	2216	2627	851	7967	7697	1615	14168	5694	1440	3280	7578	8965	10473	1527
12b64a1fdc1e54c2ed8115e173d81814	F3	166	271977	4	9	72	7	39	32	168	164	3	151	30	17	28	15	11	280	16	90	55	84	42	354	103	481	18	9	58	3	350	90	5	28	6	62	98	114	104	0	28	38	18	30	32	37	1367	11	43	12	34	25	108	9	145	403	11	1077	3	109	261	3676	3479	490	167	3534	109	13	45	3641	237	476	61	1630	327	311	2338	315	4759	2077	7677	1461	8301	206	174	163	250	747	233	5805	1630	194	400	219	3800	135	1804	1521	2274	1139	8581	199	280	7926	431	210	223	2901	683	659	11536	644	555	2032	1542	909	12052	5821	793	1837	11312	1844	15453	1479	4250	791	15076	17994	4991	1277	293	2864	1175	2716	2608	2164	2982	210	691	548	5049	3795	16331	1031	1254	11636	307	7827	1396
7a13e3d6688980dd0e361094d9c64126	F4	9	222525	892	420	3345	2244	1453	1788	4447	598	3949	3393	1529	1063	661	1787	661	436	3036	3393	3910	3319	4626	3275	1035	2342	180	1002	4851	284	867	493	9562	2632	1286	3704	3026	1276	2679	4290	1222	2801	441	3016	167	3004	732	3200	4389	456	2134	1993	4460	2078	4065	60	3504	2260	387	10313	3722	152	241	1483	1353	133	6794	6441	761	2	3905	1623	1866	67	294	3714	20	1689	50	78	0	76	24	9431	7836	1121	1710	379	184	27	25	443	8	688	42	60	48	986	253	6	24	5385	6194	23	246	3829	1325	23	2253	906	156	0	0	54	14	1051	28	17	31	356	115	116	2	185	14	254	16	17	38	10	2	2	10	150	462	7	85	0	0	56	44	88	17	59	308	21	168	33	180
c7088fc265bcdff56a1266aecb8357f5	F5	4	201780	1397	159	1861	695	333	1895	4672	4167	0	2911	5768	444	1445	375	5006	778	2979	3574	35	722	177	5421	0	2075	53	373	549	884	4790	2342	821	1054	525	3242	1621	6837	6257	3485	407	1346	529	8470	56	1697	157	173	195	443	5881	136	4500	359	9745	10	970	2072	3283	5036	1156	44	72	808	13604	108	3545	261	1369	0	2333	1747	132	23	218	3587	142	4075	25	53	0	63	29	5167	3033	2648	4218	426	149	16	0	6435	36	1497	0	95	224	7	3	0	0	2542	1644	0	1601	3269	4514	0	0	5435	0	0	0	3	0	0	0	84	0	0	0	3	0	0	4	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
875f9ef9a121a3002ea097444690a20a	F6	16	197883	504	287	436	2023	183	4328	275	12	0	290	215	239	1439	554	126	117	0	267	1399	92	2512	818	366	573	279	391	2831	362	714	160	108	1215	207	235	917	1406	114	0	282	387	108	157	89	2042	4828	217	19582	204	182	78	87	185	86	473	220	931	1165	1003	1086	6484	6659	193	1008	1694	1090	684	3202	54	1161	987	829	553	2363	194	136	1464	217	364	6	601	4207	761	3	402	1148	1964	548	1915	100	399	86	292	641	122	818	9	884	211	93	476	948	24	214	14110	287	192	805	2563	319	49	202	9028	320	359	246	283	134	145	221	14679	610	951	111	212	5721	1128	57	425	30	3	37	1038	373	222	978	10	91	305	6628	645	897	1167	15401	87	19	1343	9858
eccb98a9114be3dd20d5c23110759103	F7	1	154949	3116	655	2910	2635	435	1265	4066	1145	2112	2652	2476	1130	973	1488	1447	783	2511	2998	2562	3472	1753	3313	1677	2463	280	1806	2021	553	994	307	4684	1255	5791	1716	362	996	2612	5164	1661	2577	3027	4067	254	2570	1256	1408	499	3695	3822	1283	2868	3876	3777	35	2114	494	1171	1395	2151	94	74	3175	527	70	2484	1963	3472	0	1621	1774	999	37	254	594	11	923	24	70	0	46	3	1185	776	1146	1770	342	90	3	0	442	12	2475	2	41	47	102	5	0	0	2019	511	6	200	1204	958	0	29	466	12	0	0	12	0	0	0	12	4	0	0	0	0	2	5	207	4	0	5	1	0	0	2	0	20	0	0	0	0	0	0	1	9	1	4	0	23	0	1
e0b13d28356455e1f0a357e627248f78	F8	3	150458	2113	468	1972	4054	285	1749	2656	764	3041	1642	4185	1948	1592	2276	2314	1124	1672	4202	4039	4880	928	2137	470	3485	174	2764	1410	315	618	441	3192	1967	4004	1186	578	1382	4072	3590	1126	1811	4168	2822	142	1620	841	946	735	2548	2709	1796	4235	5353	2620	18	3024	328	758	2346	1417	41	110	1947	873	46	1708	1229	2326	0	910	2546	1408	24	121	922	44	1356	52	21	0	16	23	1845	1338	784	1164	202	51	1	0	604	0	1695	2	19	74	0	19	0	6	1403	783	1	329	1661	596	9	8	658	1	0	0	0	1	10	0	36	0	19	2	4	0	6	0	323	0	3	0	0	0	0	0	0	4	0	0	0	0	3	0	5	0	1	12	0	0	0	1
20a2b7920ecd96a53807c4b9a3d6bdd1	F9	8	147278	952	160	269	61	23	84	842	5910	0	5050	4142	73	2203	354	2576	168	4	227	144	50	2597	575	0	5276	86	3185	1596	2888	273	0	1765	2488	442	6405	64	4178	1015	438	3142	3298	407	123	103	1803	92	58	163	125	98	108	384	2175	813	14	83	3178	5584	563	1018	87	7	2242	3831	64	1761	248	4619	0	4806	2583	3086	34	426	5129	63	1867	48	8	0	77	17	531	0	3469	540	624	61	0	0	7067	44	1228	0	26	87	15	0	0	0	1636	3446	0	4502	3058	2872	0	0	6981	0	0	0	5	0	3	0	128	0	0	0	0	0	0	0	47	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
887f1779c32dec57f1d8ee87f9fe7046	F10	11	96243	828	127	2700	615	9021	536	1280	3952	810	268	154	1793	537	1666	2940	382	5363	480	928	676	726	2343	645	1724	37	803	1797	107	482	3424	825	528	849	582	3212	508	252	122	1985	905	680	390	25	277	608	609	507	759	563	1708	947	732	1527	385	429	469	246	1224	627	66	34	407	200	36	1213	536	559	0	953	721	685	6	74	397	3	655	24	61	0	12	6	823	508	2564	210	139	67	0	0	317	28	5504	2	24	7	29	5	0	6	588	3069	3	1652	382	2805	3	46	861	9	0	3	0	0	8	2	81	3	12	12	4	0	2	0	91	5	0	3	0	0	0	0	4	15	0	8	0	3	4	0	6	2	0	10	4	32	0	6
